yueyiran@DESKTOP-OHHDFET:/mnt/c/Users/lenovo/final-src-osc10e/final-src-osc10e/ch10$ sh test.sh
Compiling
Running vm
Comparing with correct.txt
1,1000c1,1000
< Virtual_Address: 23402, Physical_Address: 20586, Value: 22
< Virtual_Address: 21205, Physical_Address: 37845, Value: 0
< Virtual_Address: 56181, Physical_Address: 25205, Value: 0
< Virtual_Address: 57470, Physical_Address: 38014, Value: 56
< Virtual_Address: 39933, Physical_Address: 38397, Value: 0
< Virtual_Address: 34964, Physical_Address: 26772, Value: 0
< Virtual_Address: 24781, Physical_Address: 38605, Value: 0
< Virtual_Address: 41747, Physical_Address: 38675, Value: -60
< Virtual_Address: 62564, Physical_Address: 356, Value: 0
< Virtual_Address: 58461, Physical_Address: 15453, Value: 0
< Virtual_Address: 20858, Physical_Address: 39034, Value: 20
< Virtual_Address: 49301, Physical_Address: 8597, Value: 0
< Virtual_Address: 40572, Physical_Address: 39292, Value: 0
< Virtual_Address: 23840, Physical_Address: 39456, Value: 0
< Virtual_Address: 35278, Physical_Address: 39886, Value: 34
< Virtual_Address: 62905, Physical_Address: 28601, Value: 0
< Virtual_Address: 56650, Physical_Address: 13386, Value: 55
< Virtual_Address: 11149, Physical_Address: 40077, Value: 0
< Virtual_Address: 38920, Physical_Address: 3848, Value: 0
< Virtual_Address: 23430, Physical_Address: 20614, Value: 22
< Virtual_Address: 57592, Physical_Address: 38136, Value: 0
< Virtual_Address: 3080, Physical_Address: 40200, Value: 0
< Virtual_Address: 6677, Physical_Address: 6677, Value: 0
< Virtual_Address: 50704, Physical_Address: 26128, Value: 0
< Virtual_Address: 51883, Physical_Address: 27307, Value: -86
< Virtual_Address: 62799, Physical_Address: 28495, Value: 83
< Virtual_Address: 20188, Physical_Address: 40668, Value: 0
< Virtual_Address: 1245, Physical_Address: 40925, Value: 0
< Virtual_Address: 12220, Physical_Address: 2748, Value: 0
< Virtual_Address: 17602, Physical_Address: 41154, Value: 17
< Virtual_Address: 28609, Physical_Address: 28097, Value: 0
< Virtual_Address: 42694, Physical_Address: 20934, Value: 41
< Virtual_Address: 29826, Physical_Address: 41346, Value: 29
< Virtual_Address: 13827, Physical_Address: 31235, Value: -128
< Virtual_Address: 27336, Physical_Address: 28872, Value: 0
< Virtual_Address: 53343, Physical_Address: 35423, Value: 23
< Virtual_Address: 11533, Physical_Address: 41485, Value: 0
< Virtual_Address: 41713, Physical_Address: 41969, Value: 0
< Virtual_Address: 33890, Physical_Address: 42082, Value: 33
< Virtual_Address: 4894, Physical_Address: 13598, Value: 4
< Virtual_Address: 57599, Physical_Address: 38143, Value: 63
< Virtual_Address: 3870, Physical_Address: 18974, Value: 3
< Virtual_Address: 58622, Physical_Address: 15614, Value: 57
< Virtual_Address: 29780, Physical_Address: 41300, Value: 0
< Virtual_Address: 62553, Physical_Address: 345, Value: 0
< Virtual_Address: 2303, Physical_Address: 35327, Value: 63
< Virtual_Address: 51915, Physical_Address: 27339, Value: -78
< Virtual_Address: 6251, Physical_Address: 7531, Value: 26
< Virtual_Address: 38107, Physical_Address: 37339, Value: 54
< Virtual_Address: 59325, Physical_Address: 10429, Value: 0
< Virtual_Address: 61295, Physical_Address: 42351, Value: -37
